name,success_probability
WeVideo,0.68
Trendabl,0.78
InCrowd,0.85
Conscious Box,0.29
Sonatype,0.96
GameLayers,0.82
Ludei,0.36
Zuberance,0.93
Mention Mobile,0.23
Storenvy,0.87
Progreso Financiero,0.43
WindPole Ventures,0.22
SoFi (Social Finance),0.74
SpearFysh,0.66
Navigating Cancer,0.68
Genesis Media,0.65
Lodo Software,0.24
GroupTalent,0.77
DNN Corp,0.97
Mieple,0.29
Levo League,0.79
Quarri Technologies,0.43
SameGrain,0.69
Iddiction,0.59
Agily Networks,0.15
Docracy,0.73
Nasty Gal,0.43
Hively,0.08
Pneuron,0.68
LaunchSide,0.03
SAY Media,1.0
WEbook,0.84
Heartbeat,0.05
Omada Health,0.78
Docphin,0.65
Surefire Medical,0.19
BuzzMob,0.4
Uppidy,0.27
Koupon Media,0.42
Hulafrog,0.36
Royalty Exchange,0.67
MineralTree,0.84
Bevalley,0.64
Nexgate,0.75
StartX,0.81
Zirtual,0.67
SiteBrains,0.18
simplifyMD,0.64
Fanminder,0.39
Boundary,0.9
Virtual Bridges,0.85
Allena Pharmaceuticals,0.34
Brit + Co.,0.67
Viddler,0.71
Surreal Games,0.12
Scripted,0.67
IFTTT,0.62
Catalog Spree,0.7
Fanitics,0.02
Keen IO,0.84
Bug Labs,0.97
"deets, Inc.",0.39
Revel Touch,0.79
Gumroad,0.75
eVariant,0.34
EnTouch Controls,0.17
Formlabs,0.8
Nomorerack.com,0.65
ClassDojo,0.72
MOTWIN,0.81
Kona DataSearch,0.2
Kickboard,0.23
StreamLink Software,0.25
The Echo System,0.24
Queralt,0.28
Plura Processing,0.19
Prova Systems,0.35
Spling,0.84
Senzari,0.35
Intellocorp,0.28
Flirq,0.23
Kwelia,0.22
SnipSnap,0.75
tweetTV,0.1
Iron.io,0.59
Poshmark,0.78
OneAway,0.15
Fooda,0.7
BlazeMeter,0.8
Direct Dermatology,0.06
MindSumo,0.53
LetsCram,0.66
OrthoAccel Technologies,0.07
Revelation,0.15
Lemonwise,0.22
TradingView,0.25
Fandeavor,0.17
littleBits Electronics,0.86
CompStak,0.79
WISHI,0.39
Acacia Communications,0.5
Belly,0.94
Nitch,0.11
The Deal Fair,0.1
BrightFarms,0.8
7AC Technologies,0.71
Style for Hire,0.19
Montage Talent,0.27
BlueSprig,0.32
Percolate,0.93
MediaBrix,0.97
mobiManage,0.16
Tivity,0.43
Matchbox,0.75
ScaleArc,0.88
DueProps,0.1
Appcore,0.71
SurDoc,0.23
Zumbox,0.88
Good Eggs,0.69
OwnerIQ,0.98
UpTo,0.72
edo,0.93
Unemployment-Extension.Org,0.12
Glassbeam,0.66
Beyond Lucid Technologies,0.81
N4MD,0.13
Medrobotics,0.67
Socrative,0.83
Rover.com,0.6
Venturepax,0.61
Circa,0.89
ROXIMITY,0.55
Guestmob,0.19
Bookigee,0.14
Mahoot Games,0.19
Gauss Surgical,0.61
Clear Catheter Systems,0.14
Chasm.io (formerly Wahooly),0.21
BetterDoctor,0.76
NearWoo,0.21
eDealya,0.75
GonnaBe,0.46
Save On Medical,0.15
SendHub,0.88
Distil,0.5
Contatta,0.61
Eved,0.74
Sociogramics,0.56
ChoreMonster,0.67
Biscotti,0.46
Remark Media,0.6
JeNu Biosciences,0.1
Shodogg,0.59
Skytree,0.79
Timehop,0.82
GlobeTrotr.com,0.18
Linkwell Health,0.93
Wallit,0.29
Desti,0.67
Ovuline,0.59
Rivet & Sway,0.24
MicroPower Technologies,0.76
Fancloud,0.14
PaeDae,0.88
WemoLab,0.1
nFluence Media,0.82
Fanplayr,0.55
Senova Systems,0.5
FoodBox,0.16
FullCircle GeoSocial Networks,0.2
MarketRiders,0.15
Namely,0.53
CD Diagnostics,0.09
Graphdive,0.65
MOWGLI,0.52
QR Pharma,0.12
Trigger,0.18
SpydrSafe Mobile Security,0.68
Jemstep,0.62
GeneCentric Diagnostics,0.09
Callision,0.21
DietBetter,0.46
Cadence Biomedical,0.14
Kuratur,0.28
Sonic Notify,0.72
Sojern,0.87
Zipscene,0.21
Stakeforce,0.12
Whittl,0.2
Continuuity,0.66
Dasdak,0.16
Calxeda,0.77
StarGreetz,0.51
Murfie,0.29
BuzzVote,0.18
TiqIQ,0.18
WeFi,0.97
Commerce Sciences,0.75
Relay Foods,0.14
inMarket,0.07
Ridemakerz,0.42
AppStack,0.61
BusyEvent,0.52
StackSocial,0.71
AuraSense Therapeutics,0.18
Lookingglass Cyber Solutions,0.49
Hatchbuck,0.5
Think Big Analytics,0.24
StormWind,0.09
Quantenna Communications,0.99
GLIIF,0.21
Moveline,0.79
PhishLabs,0.08
Stillwater Supercomputing,0.19
Fidelis,0.23
Mosaic Storage Systems,0.38
Apprenda,0.96
Auxogyn,0.35
DNA Response,0.3
Aria Retirement Solutions,0.29
StyleHaul,0.66
Eventup,0.65
Chewse,0.47
Grantoo,0.38
Applied Proteomics,0.36
WibiData,0.8
TastemakerX,0.64
DeviceFidelity,0.06
Paddle8,0.77
Access Media 3,0.15
Cheers,0.57
BoardProspects,0.68
ScriptRock,0.48
Everest,0.74
Kextil,0.7
NatureBox,0.69
OpenLabel,0.63
StopTheHacker,0.83
Energy Points,0.24
Collaborate.com,0.71
Wittlebee,0.63
Spin Transfer Technologies,0.31
Novinda,0.33
Vistar Media,0.66
480 Biomedical,0.79
Aereo,0.8
Zscaler,0.58
Yodle,1.0
Carezone.com,0.63
Mnemosyne Pharmaceuticals,0.3
ProMED Healthcare Financing,0.2
Ryzing,0.07
iQuantifi.com,0.19
Signifyd,0.71
Xdynia,0.1
Scribd,0.99
My1login,0.71
SnowShoe Stamp,0.39
Goodfilms,0.17
Appcelerator,1.0
GuideSpark,0.68
Fancy,0.94
DigitalOcean,0.8
Modelinia,0.77
Lumesis,0.58
AllTrails,0.72
Swipp,0.47
CrowdStrike,0.6
SimpliVity,0.93
Duetto,0.62
cloudswave,0.27
Poppin,0.88
TempoDB,0.8
Quarterly,0.55
Atlas Powered,0.6
Plyfe,0.71
Meteor Entertainment,0.37
The Mad Video,0.72
Kairos AR,0.24
Omni Water Solutions,0.57
Timbuktu Labs,0.27
LevelUp,0.32
Captimo,0.7
Precision Health Media,0.34
divorce360,0.22
GlobeSherpa,0.21
SERPs,0.08
HubSpot,1.0
Drync,0.71
SocialChorus,0.85
Material Mix,0.29
TripleLift,0.65
"Valerion Therapeutics, LLC",0.37
Sunnovations,0.15
Agilence,0.88
Celly,0.6
Quantance,0.9
Thrillist Media Group,0.31
Chute,0.8
The Smart Baker,0.04
Branch,0.8
Cympel,0.65
DreamCloset.com,0.11
Budge,0.67
Cernostics,0.52
CooCoo,0.72
adFreeq,0.67
Coveroo,0.75
BuzzTable,0.67
Jada Beauty,0.27
Rafter,0.86
Adelphic Mobile,0.79
NextPrinciples,0.66
AnyPresence,0.81
Pathbrite,0.68
Starboard Storage Systems,0.49
ReadyPulse,0.58
Yiftee,0.79
Locality,0.82
AnyPerk,0.27
Vidyo,0.9
Entelo,0.76
Watchwith,0.28
Dojo,0.23
AetherPal,0.28
Mosaic,0.67
Averail,0.79
TownWizard,0.25
ClosetDash,0.18
FreedomPop,0.77
Thermedical,0.14
Shoptiques,0.32
Persimmon Technologies,0.36
Yashi,0.58
YouGift,0.18
VoiceBunny,0.75
Merchant Exchange,0.13
Paytopia,0.09
Campus Shift,0.1
Quixby,0.4
Virtual Race Bags,0.25
CrossLoop,0.91
Condition One,0.68
Karma Mobility,0.56
GiftCard.com,0.5
Bench,0.85
The Honest Company,0.7
via680,0.08
Zuga Medical,0.13
SubtleData,0.55
Couple,0.63
YesPlz!,0.09
Linqia,0.44
BiO2 Medical,0.41
GetGoing,0.44
Boxfish,0.7
Domino,0.52
Toopher,0.57
Strand Diagnostics,0.14
ReachForce,0.84
Sefaira,0.84
DB Networks,0.77
Beatrobo,0.18
ViralNinjas,0.61
Reesio,0.69
DataRPM,0.4
Walk Score,0.34
Bondsy,0.8
Dropifi,0.45
AgileMD,0.31
Genalyte,0.54
Udacity,0.82
1Mind,0.26
Pertino,0.94
AvaLAN Wireless Systems,0.13
CelebCalls,0.38
ZimpleMoney,0.66
Wealthfront,0.98
"Cryothermic Systems, Inc.",0.11
Bitium,0.71
BlueKai,0.98
Tinypass,0.42
9SLIDES,0.7
OrderBorder,0.09
Malauzai Software,0.21
Salad Labs,0.61
StoreFlix,0.1
Bespoke Post,0.56
Atticous,0.05
Dataminr,0.63
RideCharge,0.54
NJOY,0.42
StockTwits,0.94
Vitals (vitals.com),0.83
Voci Technologies,0.24
Wireless Glue Networks,0.41
BRIVAS LABS,0.76
Stem,0.62
Isolation Network,0.69
NuoDB,0.76
Axial,0.81
YourMechanic,0.76
CyVek,0.34
Retail Innovation Group,0.14
TradeKing,0.33
Insightpool,0.32
Proclivity Systems,0.82
iKONVERSE,0.15
"Essess, Inc",0.63
BookRenter.com,0.84
UniversityNow,0.83
Lolly Wolly Doodle,0.4
REACH Health,0.32
Alcresta,0.68
Concept.io,0.59
Dennoo,0.78
Coursera,0.79
Pebble,0.73
ALDEA Pharmaceuticals,0.76
Internet Media Labs,0.76
mon.ki,0.79
VoloMetrix,0.74
TheFind,0.94
Vadver,0.15
AutoRef.com,0.77
Metaresolver,0.5
Pheed,0.33
MyOtherDrive,0.04
Apportable,0.24
Apptentive,0.78
3Scan,0.08
CafeMom,0.99
Histros,0.12
Elemental Technologies,0.94
Artify It,0.26
Radius Inc.,0.98
Wedding Party,0.2
MokiMobility,0.45
Perk Dynamics,0.11
Villij,0.38
Hookit,0.2
Gold America,0.07
Fleksy,0.74
Makeover Solutions,0.26
Boulder Ionics,0.34
Creative Allies,0.54
Conviva,0.99
Thumbs Up,0.15
Gainsight,0.81
Idealist,0.17
Ology Media,0.28
Zoondy,0.07
Viableware,0.37
Tegile Systems,0.71
Aragon Consulting Group,0.51
PreCision Dermatology,0.3
Pindrop Security,0.5
Ruby Ribbon,0.78
BeliefNetworks,0.18
Primcogent Solutions,0.43
Heliae,0.5
Colectica,0.19
Facio,0.2
SumAll,0.81
Klout,1.0
Lawdingo,0.82
WegoWise,0.5
Pixlee,0.79
DeNovo Sciences,0.07
TalentBin,0.71
Poptip,0.87
Simple.TV,0.65
Rental Kharma,0.11
Punch!,0.28
Jebbit,0.91
Quanterix,0.9
Flint,0.76
StyleSaint,0.63
Drawbridge,0.94
Glider,0.75
Gilt Groupe,1.0
Datical,0.71
MyStore.com,0.07
Cyphort,0.9
Quantum OPS,0.35
PixelFish,0.86
Referly,0.82
Skyscraper,0.28
Mortar Data,0.91
Tamra-Tacoma Capital Partners,0.51
BISON,0.82
Futurelytics,0.45
Front Flip,0.58
Zonoff,0.81
Inktank,0.68
SkillHound,0.22
Anchor Intelligence,0.96
LuckyLabs,0.74
Curalate,0.67
Sonitus Medical,0.91
JamHub,0.19
Buzz All Stars,0.35
Anedot,0.22
VerbalizeIt,0.25
UpCounsel,0.69
Food Genius,0.72
BluePoint SecurityÖ,0.75
Dinamundo,0.14
Find That File,0.13
Apcera,0.95
"Ambri, Inc.",0.64
Creative Market,0.7
EyeVerify,0.64
71lbs,0.64
Cureeo,0.14
Fibroblast,0.24
Whimseybox,0.12
Project Frog,1.0
Amplifinity,0.57
revoPT,0.21
Rant Media Network Inc.,0.81
Local Market Launch,0.96
Ordoro,0.59
Elevate Digital,0.61
Slacker,0.97
InstaEDU,0.76
evermind,0.18
OurVinyl,0.13
Kona Medical,0.76
Cool Planet Energy Systems,0.8
Edition01,0.31
Pet Insurance Quotes,0.11
Civitas Learning,0.7
Nanoogo,0.35
Wetradetogether,0.74
InfoArmy,0.8
CrowdPC,0.33
Wasabi 3D,0.18
SaleMove,0.49
WizeHive,0.9
Enertiv,0.21
Travefy,0.61
SeedInvest,0.32
Proxio,0.53
Cortica,0.9
Datorama,0.81
Handybook,0.83
Jamplify,0.54
Greencloud Technologies,0.29
Fisoc,0.66
Ringadoc,0.33
Host Committee,0.36
Zumper,0.73
Hinge,0.75
MobileDay,0.74
Ubooly,0.67
Wonder Forge,0.1
xF Technologies Inc.,0.07
Hone and Strop,0.35
HG Data Company,0.72
Indow Windows,0.21
Classana,0.12
Global Blood Therapeutics,0.32
Nara Logics,0.43
KloudNation,0.58
HubPages,0.96
The One-Page Company,0.82
Migo.me,0.15
Adcade,0.58
Radical Studios,0.38
ideeli,0.97
Apttus,0.77
HiringThing,0.76
Ablative Solutions,0.3
RJMetrics,0.83
Goal Zero,0.2
Evergram,0.54
MusicHype,0.75
DataGravity,0.77
Plivo,0.92
Keep Holdings,0.52
Madefire,0.68
DropShip,0.25
Live Gamer,0.82
Gyft,0.71
Atooma,0.45
Cognitive Networks,0.75
Shoeboxed,0.9
UniKey Technologies,0.36
Sustainable Real Estate Solutions,0.16
Kapow Events,0.24
Endorphin.me,0.13
CrowdFlower,1.0
Wallaby Financial,0.62
Clever,0.75
Where My Dogs At,0.1
CloudByte,0.75
Dwllr,0.08
CrowdHall,0.54
Therapydia,0.68
ProfitBricks,0.78
Quikly,0.56
Veracode,0.96
Context Relevant,0.43
DraftKings,0.77
vLine,0.57
Balanced,0.74
Gemmus Pharma,0.15
Sonendo,0.61
DogVacay,0.8
Directr,0.7
ThriveHive,0.4
Twenty20.com,0.77
Morphlabs,0.97
5th Finger,0.62
Skyline Innovations,0.16
Barkbox,0.79
Nitrous.IO,0.56
Procured Health,0.65
octoScope,0.08
Flipps,0.76
SoundFit,0.17
Prometheus Civic Technologies (ProCiv),0.4
AppMesh,0.69
Pano Logic,0.73
Addvocate,0.81
PBworks,0.98
Badgy,0.32
Dhingana,0.8
Seelio,0.64
Treasure Data,0.86
VoltServer,0.07
Alicanto,0.43
"Snapfinger, Inc.",0.75
Pinnatta,0.67
Symplified,0.97
Modulus,0.1
iSpot.tv,0.77
PokitDok,0.65
Mediaocean,1.0
Sanguine BioSciences,0.25
Space Monkey,0.77
Highfive,0.87
LiveHive,0.66
ClickToShop,0.07
Artillery,0.66
Ink,0.82
SundaySky,0.96
BackOps,0.65
Field Agent,0.21
Acquia,1.0
Local Response,0.82
Mobee,0.8
Twist and Shout,0.11
KlickThru,0.27
Once Innovations,0.4
Coferon,0.76
Zadara Storage,0.21
Groupsite,0.89
Stackify,0.26
MarkITx,0.17
Revolv,0.81
Tapingo,0.16
IntelliBatt,0.53
LeadiD,0.45
PulsePoint,0.55
Luxera,0.19
Zipongo,0.19
When You Wish,0.34
ScaleMP,0.82
Think Through Learning,0.56
EDUonGo,0.12
Snibbe Studio,0.6
hearo.fm,0.48
SmartAsset,0.8
Relmada Therapeutics,0.24
Coppertino,0.16
Plain Vanilla,0.7
PivotDesk,0.82
Analyte Health,0.48
Appy Couple,0.71
Etsy,1.0
MarketPage,0.1
SpotRight,0.47
Annovation BioPharma,0.28
Stackpop,0.54
Syllabuster,0.13
BioNanovations,0.14
Plaid,0.81
TrustedAd,0.26
Piqora,0.86
Skyera,0.69
Causes,0.85
Moment.me,0.36
Luxanova,0.35
QuickPay,0.75
MediaSpike,0.87
Upstart,0.78
Mango Health,0.27
Stackdriver,0.92
APerfectShirt.com,0.07
Transaction Wireless,0.23
PlaceFull,0.2
Atterocor,0.65
Wochit,0.74
Moxie Jean,0.21
Canopy Labs,0.79
Linksy,0.26
OpenExchange,0.81
PLUMgrid,0.4
Nativo,0.73
Garantia Data,0.81
blabfeed,0.06
Bloc,0.64
VisualOn,0.3
OUYA,0.78
SeeMore Interactive,0.16
Goldbely,0.56
famo.us,0.89
CircleCi,0.3
Moven,0.43
Swirl,0.8
YaSabe,0.57
Heyzap,0.75
Elcelyx Therapeutics,0.68
Samplify Systems,0.94
LoyalBlocks,0.68
Aventura,0.61
LegalGuru,0.16
Target Data,0.65
DxUpClose,0.09
HireIQ Solutions,0.5
Punchey,0.48
Visualnet,0.21
Luvocracy,0.5
CoachUp,0.97
Organizer,0.84
Patientco,0.16
Izzui,0.13
Scoot Networks,0.59
Kloudless,0.49
Sqrrl,0.87
Survata,0.45
Jawfish Games,0.51
Sherpaa,0.56
Hatch,0.64
RidePal,0.6
Tubular Labs,0.55
Bunchball,0.87
Kymeta,0.46
Door to Door Organics,0.1
Zoom Video Communications,0.91
CloudPhysics,0.68
MobileSpaces,0.6
TagaPet,0.18
Watsi,0.77
Plair,0.37
Smart Lunches,0.24
KVZ Sports,0.07
Swyzzle,0.09
Sapheon,0.71
NiftyThrifty,0.73
Pinger,0.42
Philo,0.82
LearnStreet,0.61
CaterCow,0.27
Ohm Universe,0.12
Meez,0.3
Captricity,0.47
Sophono,0.22
RiverMeadow Software,0.77
BloomNation,0.32
Cubikal,0.07
tenXer,0.44
Pluribus Networks,0.76
Sightly,0.61
Fab.com,1.0
Voxer LLC,0.96
Aerpio Therapeutics,0.66
Virool,0.47
Caremerge,0.35
StepLeader,0.17
Automated Insights,0.73
PEX Card,0.29
Blitsy,0.09
CodeSquare,0.13
Predilytics,0.23
QBotix,0.66
Shopperception,0.23
Bugsnag,0.35
908 Devices,0.72
Tely Labs,0.58
Bulu Box,0.47
Video Blocks,0.34
BioMotiv,0.37
KnowRe,0.73
Repunch,0.17
FoundationDB,0.8
Dekko,0.68
Akimbo Financial,0.66
Benjamin's Desk,0.11
Timbre,0.6
Presidio Pharmaceuticals,0.88
eGood,0.55
Honest Buildings,0.73
Cirro,0.69
uromovie,0.02
Cuturia,0.25
RxAnte,0.44
BrightBytes,0.42
Spogo Inc.,0.39
BYNDL,0.59
Massachusetts Clean Energy Center,0.34
Speek,0.9
GiveGab,0.67
Station X,0.62
TrustRadius,0.59
FieldLens,0.82
StarMobile,0.18
Spotsetter,0.44
Content Raven,0.41
Blekko,0.92
"BabyJunk, Inc",0.18
"Agricultural Food Systems, LLC",0.12
Innovative Pulmonary Solutions,0.26
Seismic Software,0.68
Genometry,0.16
weendy,0.52
Skout,0.9
Grow Mobile,0.19
Xangati,0.92
Shipzi,0.34
PreApps,0.19
AdMobius,0.87
RoverTown,0.54
GroundMetrics,0.54
FreePriceAlerts,0.63
Datagres Technologies,0.59
Insightera,0.29
ShopInterest,0.35
Aktana,0.84
Wanderful Media,0.78
Atreca,0.11
Social Shopping Network «,0.38
Breathometer,0.84
ECO,0.61
Springbot,0.3
Freedom Meditech,0.63
Ministry of Supply,0.77
Bonfyre,0.58
CliniCast,0.23
AppThwack,0.25
Greentech Media,0.4
Insightly,0.6
Rap Genius,0.75
The Daily Hundred,0.72
Cozy,0.76
Trifacta,0.79
FiftyThree,0.89
AdTheorent,0.75
Pudding Media,0.84
Ubiquity Global Services,0.23
FlightCar,0.72
Zeppelin,0.18
Appurify,0.9
REPP,0.34
BoostUp,0.2
Easy Pairings,0.21
EQUISO,0.66
Qualvu,0.1
CreativeLIVE,0.67
Eventbrite,1.0
LaunchKey,0.56
Sialix,0.26
Tapas Media,0.61
RightCare Solutions,0.7
Teespring,0.68
KANBANize,0.22
Vaxess Technologies,0.52
Attivio,0.75
Modumetal,0.47
SRCH2,0.53
TopFloor,0.24
Lettuce,0.63
Verified Identity Pass,0.48
Bright Pattern,0.73
ActiveRain,0.48
Amiigo,0.1
Neighbor.ly,0.1
Pixalate,0.65
Splice Machine,0.45
adhoclabs,0.12
MeetCute,0.09
Ad Hoc Labs,0.53
Geckocap,0.19
AJ Consulting,0.07
Check,0.86
Socialtyze,0.26
Limos.com,0.9
SalesFUSION,0.66
Quantason,0.45
StackSearch,0.6
Ravello Systems,0.74
Mobiplex,0.15
Rewarder,0.55
Yapmo,0.64
"Dash Labs, Inc.",0.63
SkimaTalk,0.07
Dokkankom,0.09
Learnmetrics,0.21
NuORDER,0.58
LevelEleven,0.52
ExecOnline,0.67
MIT Energy Initiative,0.69
FD9 Group,0.19
Bizible,0.4
Maptia,0.32
Rolltech,0.21
New Haven Pharmaceuticals,0.16
Comixology,0.69
Zelgor,0.18
nWay,0.68
"Splashtop, Inc",0.95
DJZ,0.95
Scratch Wireless,0.57
Leanplum,0.53
ToyTalk,0.68
OrderGroove,0.86
Fanzo,0.18
Extreme Reach,0.85
Hyperpot,0.13
NBD Nanotechnologies Inc,0.27
Touch Commerce,0.88
Plug.dj,0.71
Instart Logic,0.88
Cinarra Systems,0.16
NEXAGE,0.99
CloudVolumes.com,0.68
Expert TA,0.11
Transonic Combustion,0.68
Qloo,0.68
TareasPlus,0.24
Engine Yard,1.0
TEAM INTERVAL,0.15
Picturelife,0.8
mxHero,0.72
TranscribeMe,0.82
StyleSeek,0.53
Playnomics,0.75
SpaceClaim,0.97
Change Healthcare,0.96
Epic Sciences,0.36
OutboundEngine,0.54
Cignifi,0.81
InboundWriter,0.75
CUneXus Solutions,0.37
Wikisway,0.28
SavedPlus Inc,0.12
MailPix,0.76
Acclaimd,0.11
SimplyInsured,0.2
MabVax Therapeutics,0.33
Lewis and Clark Pharmaceuticals,0.11
LucidWorks,0.92
Talari Networks,0.78
Crossbar,0.93
ICRTec,0.63
Tred,0.59
SiO2 Nanotech,0.04
Advice Wallet,0.13
CodeGlide,0.77
Corensic,0.86
InGrid Solutions,0.15
P2Binvestor,0.18
Rootless,0.21
PLYmedia,0.78
121nexus,0.34
everbill,0.4
Cyan,0.94
AutoBike,0.24
Ginger Software,0.84
Yekra,0.49
iRates,0.14
TechForward,0.77
iSchool Campus,0.62
Klooff,0.77
Cloudamize,0.26
Hired,0.81
CommonBond,0.81
CENTRI Technology,0.75
WordStream,0.98
Play Megaphone,0.21
CropUp,0.43
Widgetbox,0.56
SmartThings,0.8
Freebeepay,0.11
Green Throttle Games,0.38
Ribbon,0.31
SpinGo,0.62
RallyPoint.com,0.61
TrendPo,0.07
"Restore Medical Solutions, Inc.",0.62
SquareOne Mail,0.17
Modernizing Medicine,0.78
Marxent Labs,0.57
Moderna Therapeutics,0.84
Chef,1.0
GainSpan,0.9
Quick Hit,0.8
Appnomic Systems,0.92
Adinch Inc,0.21
RazorGator,0.45
JobSync,0.19
Judicata,0.41
SNUPI Technologies,0.3
Terabitz,0.48
HelloFresh,0.42
The Talk Market,0.36
Coinbase,0.67
River Vision Development,0.4
CloudVelocity,0.85
Tylr Mobile,0.48
BookBag,0.04
Shopular,0.22
MobileRQ,0.4
Tealet,0.09
AnyCloud,0.09
Exelis,0.48
MarcoPolo Learning,0.53
Urban Compass,0.88
Pinpoint MD,0.64
Exablox,0.7
Rentalroost.com,0.2
Alerts,0.77
Space-Time Insight,0.9
FitStar,0.68
Rabbit,0.71
MetroMile,0.73
userfox,0.8
Mixpo,0.98
VictorOps,0.52
BitInstant,0.41
FoodEssentials,0.61
Alorum,0.06
Bonanza,0.75
Miselu Inc.,0.52
Tunespeak,0.49
Aegis Identity Software,0.38
Zentila,0.27
Smaato,0.89
CliQr Technologies,0.6
Ignyta,0.45
YR.MRKT,0.14
Combatant Gentlemen,0.6
Lean Launch Ventures,0.29
Medlio,0.14
collegefeed,0.29
BitPay,0.38
Health Catalyst,0.6
PureCars,0.62
Iconixx Software,0.54
Zapproved,0.74
BlueKite,0.1
Kitsy Lane,0.42
Care Thread,0.37
Yushino,0.11
Index,0.72
Peerless Network,0.72
Recroup,0.23
Panjo,0.23
"Spikes, Inc.",0.57
iMedicare,0.09
Bugcrowd,0.73
Nok Nok Labs,0.76
